file;sex;genotype;nose.dip;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.open.raw.distance;bodycentre.open.distance.moving;bodycentre.open.raw.speed;bodycentre.open.speed.moving;bodycentre.open.time.moving;bodycentre.open.total.time;bodycentre.open.time.stationary;bodycentre.open.percentage.moving;bodycentre.open.transitions;bodycentre.closed.raw.distance;bodycentre.closed.distance.moving;bodycentre.closed.raw.speed;bodycentre.closed.speed.moving;bodycentre.closed.time.moving;bodycentre.closed.total.time;bodycentre.closed.time.stationary;bodycentre.closed.percentage.moving;bodycentre.closed.transitions;bodycentre.open.top.raw.distance;bodycentre.open.top.distance.moving;bodycentre.open.top.raw.speed;bodycentre.open.top.speed.moving;bodycentre.open.top.time.moving;bodycentre.open.top.total.time;bodycentre.open.top.time.stationary;bodycentre.open.top.percentage.moving;bodycentre.open.top.transitions;bodycentre.open.bottom.raw.distance;bodycentre.open.bottom.distance.moving;bodycentre.open.bottom.raw.speed;bodycentre.open.bottom.speed.moving;bodycentre.open.bottom.time.moving;bodycentre.open.bottom.total.time;bodycentre.open.bottom.time.stationary;bodycentre.open.bottom.percentage.moving;bodycentre.open.bottom.transitions;bodycentre.closed.left.raw.distance;bodycentre.closed.left.distance.moving;bodycentre.closed.left.raw.speed;bodycentre.closed.left.speed.moving;bodycentre.closed.left.time.moving;bodycentre.closed.left.total.time;bodycentre.closed.left.time.stationary;bodycentre.closed.left.percentage.moving;bodycentre.closed.left.transitions;bodycentre.closed.right.raw.distance;bodycentre.closed.right.distance.moving;bodycentre.closed.right.raw.speed;bodycentre.closed.right.speed.moving;bodycentre.closed.right.time.moving;bodycentre.closed.right.total.time;bodycentre.closed.right.time.stationary;bodycentre.closed.right.percentage.moving;bodycentre.closed.right.transitions
EPM_40W_2237_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;30;1605,04;1073,95;5,42;10,47;102,56;296,12;193,56;34,63;235,52;129,59;4,36;7,96;16,28;53,96;37,68;30,17;55;1111,74;792,92;6,04;11,32;70,04;184,04;114;38,06;25;257,77;151,44;4,44;9,33;16,24;58,12;41,88;27,94;30;121,47;76,92;4,84;9,43;8,16;25,08;16,92;32,54;10;136,3;74,52;4,13;9,22;8,08;33,04;24,96;24,46;20;481,26;383,21;7,22;11,46;33,44;66,68;33,24;50,15;11;630,49;409,71;5,37;11,19;36,6;117,36;80,76;31,19;14
EPM_40W_2238_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;82;2075,2;1607,18;7,03;12,75;126,04;295;168,96;42,73;175,22;167,2;12,66;16,01;10,44;13,84;3,4;75,43;46;345,15;291,83;8,61;14,98;19,48;40,08;20,6;48,6;10;1553,2;1148,15;6,48;11,95;96,12;239,76;143,64;40,09;44;646,7;448,27;6,01;11,52;38,92;107,56;68,64;36,18;19;906,49;699,89;6,86;12,24;57,2;132,2;75;43,27;25;249,73;211,91;8,81;14,47;14,64;28,36;13,72;51,62;6;95,42;79,92;8,14;16,51;4,84;11,72;6,88;41,3;4
EPM_40W_2239_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;29;1588,27;1150,64;5,36;10,63;108,28;296,48;188,2;36,52;203,96;122,98;4,2;8,29;14,84;48,6;33,76;30,53;44;979,45;756,39;6,12;11,65;64,92;159,96;95,04;40,59;23;404,85;271,27;4,81;9,51;28,52;84,2;55,68;33,87;22;225,86;166,54;5,49;9,82;16,96;41,12;24,16;41,25;8;178,99;104,73;4,15;9,06;11,56;43,08;31,52;26,83;14;291,91;224,98;7,22;12,04;18,68;40,44;21,76;46,19;6;687,55;531,41;5,75;11,49;46,24;119,52;73,28;38,69;17
EPM_40W_2246_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;29;1390,69;880,83;4,76;9,48;92,96;292,24;199,28;31,81;179,2;100,72;4,6;7,61;13,24;38,92;25,68;34,02;38;915,19;621,52;4,84;10,22;60,84;189,16;128,32;32,16;21;295,23;158,58;4,63;8,42;18,84;63,72;44,88;29,57;18;107,96;53,05;4,33;8,19;6,48;24,96;18,48;25,96;8;187,27;105,54;4,83;8,54;12,36;38,76;26,4;31,89;10;534,57;352,54;4,24;10,45;33,72;126,08;92,36;26,74;13;380,62;268,98;6,03;9,92;27,12;63,08;35,96;42,99;8
EPM_40W_2249_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;19;1249,98;819,96;4,26;11,47;71,48;293,24;221,76;24,38;183,81;96,65;4,15;9,29;10,4;44,28;33,88;23,49;39;822,83;567,05;4,06;12,01;47,2;202,56;155,36;23,3;20;243,33;156,26;5,47;11,26;13,88;44,48;30,6;31,21;20;141,19;84,96;4,92;9,15;9,28;28,68;19,4;32,36;8;102,14;71,3;6,46;15,5;4,6;15,8;11,2;29,11;12;310,07;202,78;3,85;11,93;17;80,56;63,56;21,1;8;512,76;364,27;4,2;12,06;30,2;122;91,8;24,75;12
EPM_40W_2259_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;18;1462,33;1004,36;4,97;11,17;89,92;294,44;204,52;30,54;129,04;90,54;5,77;9,43;9,6;22,36;12,76;42,93;34;1114,44;762,16;4,82;11,69;65,2;231,24;166,04;28,2;25;218,85;151,66;5,77;10,03;15,12;37,96;22,84;39,83;8;86,39;65,68;6,1;9,72;6,76;14,16;7,4;47,74;4;132,46;85,98;5,57;10,28;8,36;23,8;15,44;35,13;4;642,95;436,84;4,57;11,51;37,96;140,6;102,64;27;15;471,49;325,32;5,2;11,94;27,24;90,64;63,4;30,05;10
EPM_40W_2266_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;12;1316,2;877,5;4,5;10,09;87;292,48;205,48;29,75;195,71;106,19;4,22;7,83;13,56;46,4;32,84;29,22;37;1057,57;750,07;4,61;10,61;70,68;229,36;158,68;30,82;25;62,91;21,23;3,76;7,69;2,76;16,72;13,96;16,51;12;45,96;17,82;3,83;7,81;2,28;12;9,72;19;6;16,95;3,42;3,59;7,12;0,48;4,72;4,24;10,17;6;473,23;350,82;6;10,88;32,24;78,84;46,6;40,89;11;584,35;399,25;3,88;10,39;38,44;150,52;112,08;25,54;14
EPM_40W_2279_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;16;1635,48;1147,09;5,62;10,96;104,68;291,04;186,36;35,97;279,96;134,63;4,15;9,05;14,88;67,52;52,64;22,04;52;1174,11;900,18;6,44;11,29;79,72;182,28;102,56;43,73;30;181,42;112,29;4,4;11,14;10,08;41,24;31,16;24,44;22;115,65;73,29;4,32;12,38;5,92;26,8;20,88;22,09;12;65,76;39;4,55;9,37;4,16;14,44;10,28;28,81;10;741,91;528,15;5,71;10,84;48,72;129,92;81,2;37,5;16;432,2;372,02;8,25;12;31;52,36;21,36;59,21;14
EPM_40W_2323_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;18;1293,05;817,07;4,45;11,19;73,04;290,48;217,44;25,14;243,67;106,79;2,85;8,56;12,48;85,56;73,08;14,59;28;866,1;583,15;5,11;12,41;47;169,48;122,48;27,73;18;183,29;127,13;5,17;9,38;13,56;35,44;21,88;38,26;10;100,07;76,52;5,83;10,18;7,52;17,16;9,64;43,82;2;83,21;50,6;4,55;8,38;6,04;18,28;12,24;33,04;8;365,13;288,11;7,37;12,98;22,2;49,56;27,36;44,79;9;500,96;295,04;4,18;11,9;24,8;119,92;95,12;20,68;9
EPM_40W_2325_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;16;1196,24;755,08;4,08;10,29;73,4;292,96;219,56;25,05;193,82;101,49;3,57;8,51;11,92;54,28;42,36;21,96;30;822,83;526,53;3,99;10,63;49,52;206,08;156,56;24,03;17;179,6;127,06;5,66;10,62;11,96;31,72;19,76;37,7;14;107,83;80,33;6,53;10,97;7,32;16,52;9,2;44,31;6;71,77;46,72;4,72;10,07;4,64;15,2;10,56;30,53;8;343,11;271,2;6,74;11,51;23,56;50,88;27,32;46,31;10;479,72;255,33;3,09;9,84;25,96;155,2;129,24;16,73;7
