file;nose.dip;sex;genotype;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.open.raw.distance;bodycentre.open.distance.moving;bodycentre.open.raw.speed;bodycentre.open.speed.moving;bodycentre.open.time.moving;bodycentre.open.total.time;bodycentre.open.time.stationary;bodycentre.open.percentage.moving;bodycentre.open.transitions;bodycentre.closed.raw.distance;bodycentre.closed.distance.moving;bodycentre.closed.raw.speed;bodycentre.closed.speed.moving;bodycentre.closed.time.moving;bodycentre.closed.total.time;bodycentre.closed.time.stationary;bodycentre.closed.percentage.moving;bodycentre.closed.transitions;bodycentre.open.top.raw.distance;bodycentre.open.top.distance.moving;bodycentre.open.top.raw.speed;bodycentre.open.top.speed.moving;bodycentre.open.top.time.moving;bodycentre.open.top.total.time;bodycentre.open.top.time.stationary;bodycentre.open.top.percentage.moving;bodycentre.open.top.transitions;bodycentre.open.bottom.raw.distance;bodycentre.open.bottom.distance.moving;bodycentre.open.bottom.raw.speed;bodycentre.open.bottom.speed.moving;bodycentre.open.bottom.time.moving;bodycentre.open.bottom.total.time;bodycentre.open.bottom.time.stationary;bodycentre.open.bottom.percentage.moving;bodycentre.open.bottom.transitions;bodycentre.closed.left.raw.distance;bodycentre.closed.left.distance.moving;bodycentre.closed.left.raw.speed;bodycentre.closed.left.speed.moving;bodycentre.closed.left.time.moving;bodycentre.closed.left.total.time;bodycentre.closed.left.time.stationary;bodycentre.closed.left.percentage.moving;bodycentre.closed.left.transitions;bodycentre.closed.right.raw.distance;bodycentre.closed.right.distance.moving;bodycentre.closed.right.raw.speed;bodycentre.closed.right.speed.moving;bodycentre.closed.right.time.moving;bodycentre.closed.right.total.time;bodycentre.closed.right.time.stationary;bodycentre.closed.right.percentage.moving;bodycentre.closed.right.transitions
EPM_24W_2307_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;34,00;f;wt;1508,12;991,67;4,93;9,70;102,20;306,08;203,88;33,39;239,23;128,10;3,41;7,63;16,80;70,08;53,28;23,97;51,00;794,41;588,31;6,39;10,76;54,68;124,40;69,72;43,95;19,00;473,05;274,64;4,26;8,98;30,60;111,16;80,56;27,53;34,00;204,40;134,83;4,84;9,63;14,00;42,24;28,24;33,14;10,00;268,64;139,81;3,90;8,42;16,60;68,92;52,32;24,09;24,00;612,59;454,54;6,42;10,71;42,44;95,44;53,00;44,47;13,00;181,82;133,77;6,28;10,93;12,24;28,96;16,72;42,27;6,00
EPM_24W_2308_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;57,50;f;wt;2138,68;1688,41;7,08;13,05;129,36;301,88;172,52;42,85;155,01;131,92;8,95;12,93;10,20;17,32;7,12;58,89;48,00;738,22;650,29;10,52;15,75;41,28;70,16;28,88;58,84;20,00;1240,30;901,20;6,05;11,63;77,48;205,08;127,60;37,78;31,00;485,95;358,12;6,43;12,23;29,28;75,52;46,24;38,77;12,00;754,35;543,08;5,82;11,27;48,20;129,56;81,36;37,20;19,00;313,38;288,46;12,46;15,58;18,52;25,16;6,64;73,61;10,00;424,83;361,84;9,44;15,90;22,76;45,00;22,24;50,58;10,00
EPM_24W_2311_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;9,00;f;wt;1186,12;724,13;3,78;10,53;68,76;314,16;245,40;21,89;187,16;87,84;3,53;8,48;10,36;53,04;42,68;19,53;36,00;983,07;624,60;4,18;10,88;57,40;235,16;177,76;24,41;31,00;12,93;8,74;4,55;11,50;0,76;2,84;2,08;26,76;6,00;0,00;0,00;NA;NA;0,00;0,00;0,00;NA;0,00;12,93;8,74;4,55;11,50;0,76;2,84;2,08;26,76;6,00;469,58;335,98;6,02;10,95;30,68;78,00;47,32;39,33;18,00;513,49;288,62;3,27;10,80;26,72;157,16;130,44;17,00;13,00
EPM_24W_2312_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;35,00;f;wt;1295,42;754,91;4,30;9,55;79,04;301,00;221,96;26,26;245,12;112,00;3,93;7,65;14,64;62,32;47,68;23,49;40,00;743,61;516,19;5,45;10,53;49,00;136,40;87,40;35,92;29,00;301,88;126,72;3,30;8,23;15,40;91,40;76,00;16,85;18,00;198,30;86,46;3,09;8,89;9,72;64,08;54,36;15,17;2,00;103,58;40,26;3,79;7,09;5,68;27,32;21,64;20,79;16,00;483,92;320,09;5,16;10,64;30,08;93,84;63,76;32,05;15,00;259,70;196,09;6,10;10,36;18,92;42,56;23,64;44,45;14,00
EPM_24W_2359_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;11,00;f;wt;1297,06;830,93;4,42;10,28;80,84;293,24;212,40;27,57;187,85;88,24;3,40;8,23;10,72;55,28;44,56;19,39;36,00;983,57;655,92;4,63;11,00;59,64;212,24;152,60;28,10;29,00;125,19;86,32;5,24;8,27;10,44;23,88;13,44;43,72;8,00;117,92;80,53;5,13;8,12;9,92;23,00;13,08;43,13;4,00;7,27;5,79;8,26;11,13;0,52;0,88;0,36;59,09;4,00;579,43;379,53;4,24;10,68;35,52;136,76;101,24;25,97;18,00;404,14;276,39;5,35;11,46;24,12;75,48;51,36;31,96;11,00
EPM_24W_2401_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;25,00;f;wt;1542,98;1061,26;5,23;10,71;99,12;294,92;195,80;33,61;229,15;114,70;3,65;8,90;12,88;62,72;49,84;20,54;48,00;833,45;612,10;5,78;11,15;54,92;144,32;89,40;38,05;25,00;475,80;332,49;5,72;10,64;31,24;83,16;51,92;37,57;24,00;268,77;187,55;5,38;9,87;19,00;49,92;30,92;38,06;12,00;207,03;144,93;6,23;11,84;12,24;33,24;21,00;36,82;12,00;321,15;253,66;6,80;11,03;23,00;47,24;24,24;48,69;11,00;512,31;358,44;5,28;11,23;31,92;97,08;65,16;32,88;14,00
EPM_24W_2410_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;1,00;f;wt;599,65;207,32;2,03;7,66;27,08;295,44;268,36;9,17;85,53;25,32;2,69;7,53;3,36;31,80;28,44;10,57;14,00;486,69;171,30;1,90;7,45;23,00;255,60;232,60;9,00;9,00;23,46;6,73;3,47;9,90;0,68;6,76;6,08;10,06;6,00;0,00;0,00;NA;NA;0,00;0,00;0,00;NA;0,00;23,46;6,73;3,47;9,90;0,68;6,76;6,08;10,06;6,00;230,24;70,12;1,66;7,37;9,52;138,68;129,16;6,86;5,00;256,45;101,17;2,19;7,51;13,48;116,92;103,44;11,53;4,00
EPM_24W_2411_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;30,00;f;wt;1454,13;1005,10;4,97;11,27;89,20;292,68;203,48;30,48;170,99;97,29;4,30;8,75;11,12;39,80;28,68;27,94;38,00;870,54;637,37;5,49;12,15;52,44;158,60;106,16;33,06;27,00;383,41;252,24;4,31;10,39;24,28;89,04;64,76;27,27;21,00;230,23;146,13;3,70;10,23;14,28;62,16;47,88;22,97;12,00;153,18;106,11;5,70;10,61;10,00;26,88;16,88;37,20;9,00;424,99;325,99;5,33;12,20;26,72;79,80;53,08;33,48;11,00;445,55;311,38;5,65;12,11;25,72;78,80;53,08;32,64;16,00
EPM_24W_2416_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;13,00;f;wt;1817,26;1329,75;6,20;12,20;109,00;293,28;184,28;37,17;276,34;142,56;4,18;8,91;16,00;66,12;50,12;24,20;63,00;1444,79;1123,79;7,00;13,01;86,40;206,52;120,12;41,84;47,00;96,12;63,40;4,66;9,61;6,60;20,64;14,04;31,98;16,00;10,31;1,63;2,01;8,13;0,20;5,12;4,92;3,91;8,00;85,81;61,78;5,53;9,65;6,40;15,52;9,12;41,24;8,00;973,52;710,40;6,19;12,26;57,96;157,40;99,44;36,82;33,00;471,27;413,39;9,59;14,54;28,44;49,12;20,68;57,90;14,00
EPM_24W_2419_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;34,00;f;wt;1904,78;1465,00;6,55;11,81;124,04;290,84;166,80;42,65;215,26;131,56;4,36;8,70;15,12;49,36;34,24;30,63;47,00;1093,64;859,45;7,19;12,83;67,00;152,12;85,12;44,04;27,00;595,10;473,99;6,68;11,31;41,92;89,04;47,12;47,08;22,00;262,51;221,77;8,05;11,67;19,00;32,60;13,60;58,28;8,00;332,59;252,22;5,89;11,00;22,92;56,44;33,52;40,61;14,00;572,12;472,66;8,57;13,71;34,48;66,76;32,28;51,65;13,00;521,53;386,78;6,11;11,89;32,52;85,36;52,84;38,10;14,00
EPM_40W_2224_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;18,00;f;wt;992,08;431,48;3,30;8,71;49,52;300,60;251,08;16,47;194,70;61,88;3,36;7,51;8,24;57,92;49,68;14,23;26,00;716,95;339,60;3,36;9,11;37,28;213,60;176,32;17,45;12,00;80,32;30,00;4,10;7,50;4,00;19,60;15,60;20,41;15,00;15,70;4,49;3,35;9,35;0,48;4,68;4,20;10,26;6,00;64,62;25,51;4,33;7,25;3,52;14,92;11,40;23,59;9,00;99,80;76,23;6,32;10,08;7,56;15,80;8,24;47,85;4,00;617,15;263,37;3,12;8,86;29,72;197,80;168,08;15,03;8,00
EPM_40W_2230_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;19,00;f;wt;618,03;207,62;1,99;8,67;23,96;311,16;287,20;7,70;178,45;45,05;1,46;8,47;5,32;122,60;117,28;4,34;34,00;206,36;101,40;3,19;9,22;11,00;64,60;53,60;17,03;20,00;227,99;61,17;2,16;8,01;7,64;105,72;98,08;7,23;17,00;203,02;57,71;2,05;7,97;7,24;99,12;91,88;7,30;5,00;24,97;3,46;3,78;8,65;0,40;6,60;6,20;6,06;12,00;58,90;33,98;4,99;8,09;4,20;11,80;7,60;35,59;4,00;147,46;67,42;2,79;9,91;6,80;52,80;46,00;12,88;16,00
EPM_40W_2237_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;30,00;f;wt;1605,04;1073,95;5,42;10,47;102,56;296,12;193,56;34,63;235,52;129,59;4,36;7,96;16,28;53,96;37,68;30,17;55,00;1111,74;792,92;6,04;11,32;70,04;184,04;114,00;38,06;25,00;257,77;151,44;4,44;9,33;16,24;58,12;41,88;27,94;30,00;121,47;76,92;4,84;9,43;8,16;25,08;16,92;32,54;10,00;136,30;74,52;4,13;9,22;8,08;33,04;24,96;24,46;20,00;481,26;383,21;7,22;11,46;33,44;66,68;33,24;50,15;11,00;630,49;409,71;5,37;11,19;36,60;117,36;80,76;31,19;14,00
EPM_40W_2238_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;81,50;f;wt;2075,20;1607,18;7,03;12,75;126,04;295,00;168,96;42,73;175,22;167,20;12,66;16,01;10,44;13,84;3,40;75,43;46,00;345,15;291,83;8,61;14,98;19,48;40,08;20,60;48,60;10,00;1553,20;1148,15;6,48;11,95;96,12;239,76;143,64;40,09;44,00;646,70;448,27;6,01;11,52;38,92;107,56;68,64;36,18;19,00;906,49;699,89;6,86;12,24;57,20;132,20;75,00;43,27;25,00;249,73;211,91;8,81;14,47;14,64;28,36;13,72;51,62;6,00;95,42;79,92;8,14;16,51;4,84;11,72;6,88;41,30;4,00
EPM_40W_2239_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;29,00;f;wt;1588,27;1150,64;5,36;10,63;108,28;296,48;188,20;36,52;203,96;122,98;4,20;8,29;14,84;48,60;33,76;30,53;44,00;979,45;756,39;6,12;11,65;64,92;159,96;95,04;40,59;23,00;404,85;271,27;4,81;9,51;28,52;84,20;55,68;33,87;22,00;225,86;166,54;5,49;9,82;16,96;41,12;24,16;41,25;8,00;178,99;104,73;4,15;9,06;11,56;43,08;31,52;26,83;14,00;291,91;224,98;7,22;12,04;18,68;40,44;21,76;46,19;6,00;687,55;531,41;5,75;11,49;46,24;119,52;73,28;38,69;17,00
EPM_40W_2246_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;29,00;f;wt;1390,69;880,83;4,76;9,48;92,96;292,24;199,28;31,81;179,20;100,72;4,60;7,61;13,24;38,92;25,68;34,02;38,00;915,19;621,52;4,84;10,22;60,84;189,16;128,32;32,16;21,00;295,23;158,58;4,63;8,42;18,84;63,72;44,88;29,57;18,00;107,96;53,05;4,33;8,19;6,48;24,96;18,48;25,96;8,00;187,27;105,54;4,83;8,54;12,36;38,76;26,40;31,89;10,00;534,57;352,54;4,24;10,45;33,72;126,08;92,36;26,74;13,00;380,62;268,98;6,03;9,92;27,12;63,08;35,96;42,99;8,00
EPM_40W_2249_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;19,00;f;wt;1249,98;819,96;4,26;11,47;71,48;293,24;221,76;24,38;183,81;96,65;4,15;9,29;10,40;44,28;33,88;23,49;39,00;822,83;567,05;4,06;12,01;47,20;202,56;155,36;23,30;20,00;243,33;156,26;5,47;11,26;13,88;44,48;30,60;31,21;20,00;141,19;84,96;4,92;9,15;9,28;28,68;19,40;32,36;8,00;102,14;71,30;6,46;15,50;4,60;15,80;11,20;29,11;12,00;310,07;202,78;3,85;11,93;17,00;80,56;63,56;21,10;8,00;512,76;364,27;4,20;12,06;30,20;122,00;91,80;24,75;12,00
EPM_40W_2259_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;18,00;f;wt;1462,33;1004,36;4,97;11,17;89,92;294,44;204,52;30,54;129,04;90,54;5,77;9,43;9,60;22,36;12,76;42,93;34,00;1114,44;762,16;4,82;11,69;65,20;231,24;166,04;28,20;25,00;218,85;151,66;5,77;10,03;15,12;37,96;22,84;39,83;8,00;86,39;65,68;6,10;9,72;6,76;14,16;7,40;47,74;4,00;132,46;85,98;5,57;10,28;8,36;23,80;15,44;35,13;4,00;642,95;436,84;4,57;11,51;37,96;140,60;102,64;27,00;15,00;471,49;325,32;5,20;11,94;27,24;90,64;63,40;30,05;10,00
EPM_40W_2266_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;12,00;f;wt;1316,20;877,50;4,50;10,09;87,00;292,48;205,48;29,75;195,71;106,19;4,22;7,83;13,56;46,40;32,84;29,22;37,00;1057,57;750,07;4,61;10,61;70,68;229,36;158,68;30,82;25,00;62,91;21,23;3,76;7,69;2,76;16,72;13,96;16,51;12,00;45,96;17,82;3,83;7,81;2,28;12,00;9,72;19,00;6,00;16,95;3,42;3,59;7,12;0,48;4,72;4,24;10,17;6,00;473,23;350,82;6,00;10,88;32,24;78,84;46,60;40,89;11,00;584,35;399,25;3,88;10,39;38,44;150,52;112,08;25,54;14,00
EPM_40W_2279_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;16,00;f;wt;1635,48;1147,09;5,62;10,96;104,68;291,04;186,36;35,97;279,96;134,63;4,15;9,05;14,88;67,52;52,64;22,04;52,00;1174,11;900,18;6,44;11,29;79,72;182,28;102,56;43,73;30,00;181,42;112,29;4,40;11,14;10,08;41,24;31,16;24,44;22,00;115,65;73,29;4,32;12,38;5,92;26,80;20,88;22,09;12,00;65,76;39,00;4,55;9,37;4,16;14,44;10,28;28,81;10,00;741,91;528,15;5,71;10,84;48,72;129,92;81,20;37,50;16,00;432,20;372,02;8,25;12,00;31,00;52,36;21,36;59,21;14,00
EPM_40W_2323_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;18,00;f;wt;1293,05;817,07;4,45;11,19;73,04;290,48;217,44;25,14;243,67;106,79;2,85;8,56;12,48;85,56;73,08;14,59;28,00;866,10;583,15;5,11;12,41;47,00;169,48;122,48;27,73;18,00;183,29;127,13;5,17;9,38;13,56;35,44;21,88;38,26;10,00;100,07;76,52;5,83;10,18;7,52;17,16;9,64;43,82;2,00;83,21;50,60;4,55;8,38;6,04;18,28;12,24;33,04;8,00;365,13;288,11;7,37;12,98;22,20;49,56;27,36;44,79;9,00;500,96;295,04;4,18;11,90;24,80;119,92;95,12;20,68;9,00
EPM_40W_2325_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;16,00;f;wt;1196,24;755,08;4,08;10,29;73,40;292,96;219,56;25,05;193,82;101,49;3,57;8,51;11,92;54,28;42,36;21,96;30,00;822,83;526,53;3,99;10,63;49,52;206,08;156,56;24,03;17,00;179,60;127,06;5,66;10,62;11,96;31,72;19,76;37,70;14,00;107,83;80,33;6,53;10,97;7,32;16,52;9,20;44,31;6,00;71,77;46,72;4,72;10,07;4,64;15,20;10,56;30,53;8,00;343,11;271,20;6,74;11,51;23,56;50,88;27,32;46,31;10,00;479,72;255,33;3,09;9,84;25,96;155,20;129,24;16,73;7,00
EPM_40W_2330_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;16,00;f;wt;1718,65;1205,69;5,92;11,46;105,20;290,48;185,28;36,22;221,56;139,87;4,97;8,59;16,28;44,60;28,32;36,50;50,00;1390,96;1022,07;6,35;12,14;84,16;218,88;134,72;38,45;32,00;106,13;43,75;3,93;9,19;4,76;27,00;22,24;17,63;18,00;55,26;21,05;3,56;8,77;2,40;15,52;13,12;15,46;10,00;50,87;22,70;4,43;9,62;2,36;11,48;9,12;20,56;8,00;857,66;609,09;5,95;11,70;52,04;144,20;92,16;36,09;20,00;533,30;412,98;7,14;12,86;32,12;74,68;42,56;43,01;12,00
